iteration,best_score,n_evaluations,wind_mw,pv_mw,electrolyzer_mw,n_electrolyzer_units,battery_mw,battery_mwh,battery_duration_h,feasible,agsr,electrolyzer_cf,lcoe_cny_per_kwh,lcoh_cny_per_kg,a,algorithm,seed
1,0.29026511725010135,20,128.77302401613292,71.22697598386708,90.0,18,20.0,20.0,1.0,True,0.17651060919669045,0.5882629681117707,0.29026511725010135,19.510861838354487,2.0,gwo,42
2,0.2843962199641878,40,153.44044191096046,46.55955808903954,100.0,20,15.0,15.0,1.0,True,0.19944462663978177,0.5573471229150675,0.2843962199641878,19.659273837437222,1.9310344827586208,gwo,42
3,0.2843962199641878,60,153.44044191096046,46.55955808903954,100.0,20,15.0,15.0,1.0,True,0.19944462663978177,0.5573471229150675,0.2843962199641878,19.659273837437222,1.8620689655172413,gwo,42
4,0.2843962199641878,80,153.44044191096046,46.55955808903954,100.0,20,15.0,15.0,1.0,True,0.19944462663978177,0.5573471229150675,0.2843962199641878,19.659273837437222,1.793103448275862,gwo,42
5,0.2841731930720547,100,152.92708566594823,47.072914334051774,100.0,20,15.0,15.0,1.0,True,0.198941825564186,0.5579625536273081,0.2841731930720547,19.631342427432315,1.7241379310344827,gwo,42
6,0.2841731930720547,120,152.92708566594823,47.072914334051774,100.0,20,15.0,15.0,1.0,True,0.198941825564186,0.5579625536273081,0.2841731930720547,19.631342427432315,1.6551724137931034,gwo,42
7,0.2841731930720547,140,152.92708566594823,47.072914334051774,100.0,20,15.0,15.0,1.0,True,0.198941825564186,0.5579625536273081,0.2841731930720547,19.631342427432315,1.5862068965517242,gwo,42
8,0.2841731930720547,160,152.92708566594823,47.072914334051774,100.0,20,15.0,15.0,1.0,True,0.198941825564186,0.5579625536273081,0.2841731930720547,19.631342427432315,1.5172413793103448,gwo,42
9,0.2841731930720547,180,152.92708566594823,47.072914334051774,100.0,20,15.0,15.0,1.0,True,0.198941825564186,0.5579625536273081,0.2841731930720547,19.631342427432315,1.4482758620689655,gwo,42
10,0.2841731930720547,200,152.92708566594823,47.072914334051774,100.0,20,15.0,15.0,1.0,True,0.198941825564186,0.5579625536273081,0.2841731930720547,19.631342427432315,1.3793103448275863,gwo,42
11,0.28275609174503985,220,147.75828416663174,52.24171583336826,95.0,19,20.0,20.0,1.0,True,0.1947051876961217,0.5806182104000186,0.28275609174503985,19.437579456212013,1.3103448275862069,gwo,42
12,0.28275609174503985,240,147.75828416663174,52.24171583336826,95.0,19,20.0,20.0,1.0,True,0.1947051876961217,0.5806182104000186,0.28275609174503985,19.437579456212013,1.2413793103448276,gwo,42
13,0.28275609174503985,260,147.75828416663174,52.24171583336826,95.0,19,20.0,20.0,1.0,True,0.1947051876961217,0.5806182104000186,0.28275609174503985,19.437579456212013,1.1724137931034484,gwo,42
14,0.28275609174503985,280,147.75828416663174,52.24171583336826,95.0,19,20.0,20.0,1.0,True,0.1947051876961217,0.5806182104000186,0.28275609174503985,19.437579456212013,1.103448275862069,gwo,42
15,0.28275609174503985,300,147.75828416663174,52.24171583336826,95.0,19,20.0,20.0,1.0,True,0.1947051876961217,0.5806182104000186,0.28275609174503985,19.437579456212013,1.0344827586206897,gwo,42
16,0.28275609174503985,320,147.75828416663174,52.24171583336826,95.0,19,20.0,20.0,1.0,True,0.1947051876961217,0.5806182104000186,0.28275609174503985,19.437579456212013,0.9655172413793103,gwo,42
17,0.28275609174503985,340,147.75828416663174,52.24171583336826,95.0,19,20.0,20.0,1.0,True,0.1947051876961217,0.5806182104000186,0.28275609174503985,19.437579456212013,0.896551724137931,gwo,42
18,0.28275609174503985,360,147.75828416663174,52.24171583336826,95.0,19,20.0,20.0,1.0,True,0.1947051876961217,0.5806182104000186,0.28275609174503985,19.437579456212013,0.8275862068965518,gwo,42
19,0.28275609174503985,380,147.75828416663174,52.24171583336826,95.0,19,20.0,20.0,1.0,True,0.1947051876961217,0.5806182104000186,0.28275609174503985,19.437579456212013,0.7586206896551724,gwo,42
20,0.28275609174503985,400,147.75828416663174,52.24171583336826,95.0,19,20.0,20.0,1.0,True,0.1947051876961217,0.5806182104000186,0.28275609174503985,19.437579456212013,0.6896551724137931,gwo,42
21,0.2826563861133579,420,147.52534094174575,52.47465905825425,95.0,19,20.0,20.0,1.0,True,0.19453350005358913,0.580862834900119,0.2826563861133579,19.42652715133409,0.6206896551724137,gwo,42
22,0.2825538094226061,440,128.2063177881538,71.7936822118462,85.0,17,20.0,20.0,1.0,True,0.1969917836847762,0.6077925717903019,0.2825538094226061,19.478537910506034,0.5517241379310345,gwo,42
23,0.2825538094226061,460,128.2063177881538,71.7936822118462,85.0,17,20.0,20.0,1.0,True,0.1969917836847762,0.6077925717903019,0.2825538094226061,19.478537910506034,0.48275862068965525,gwo,42
24,0.2825538094226061,480,128.2063177881538,71.7936822118462,85.0,17,20.0,20.0,1.0,True,0.1969917836847762,0.6077925717903019,0.2825538094226061,19.478537910506034,0.4137931034482758,gwo,42
25,0.2825538094226061,500,128.2063177881538,71.7936822118462,85.0,17,20.0,20.0,1.0,True,0.1969917836847762,0.6077925717903019,0.2825538094226061,19.478537910506034,0.3448275862068966,gwo,42
26,0.2825538094226061,520,128.2063177881538,71.7936822118462,85.0,17,20.0,20.0,1.0,True,0.1969917836847762,0.6077925717903019,0.2825538094226061,19.478537910506034,0.27586206896551735,gwo,42
27,0.2825538094226061,540,128.2063177881538,71.7936822118462,85.0,17,20.0,20.0,1.0,True,0.1969917836847762,0.6077925717903019,0.2825538094226061,19.478537910506034,0.2068965517241379,gwo,42
28,0.28244525191336495,560,137.50085601431942,62.499143985680575,90.0,18,20.0,20.0,1.0,True,0.1943263927929625,0.5948167804557298,0.28244525191336495,19.40659016444631,0.13793103448275867,gwo,42
29,0.28244525191336495,580,137.50085601431942,62.499143985680575,90.0,18,20.0,20.0,1.0,True,0.1943263927929625,0.5948167804557298,0.28244525191336495,19.40659016444631,0.06896551724137945,gwo,42
30,0.28244525191336495,600,137.50085601431942,62.499143985680575,90.0,18,20.0,20.0,1.0,True,0.1943263927929625,0.5948167804557298,0.28244525191336495,19.40659016444631,0.0,gwo,42
1,0.32089591542225,20,68.28501720448766,131.71498279551236,75.0,15,15.0,30.0,2.0,True,0.16310023041877073,0.5780346697044305,0.32089591542225,21.22828193442127,2.0,gwo,43
2,0.30748409599879506,40,93.80902216317996,106.19097783682004,70.0,14,40.0,80.0,2.0,True,0.19253538986189692,0.6549985301645662,0.30748409599879506,21.098636041800404,1.9310344827586208,gwo,43
3,0.2894908679903025,60,152.85017149961013,47.14982850038987,100.0,20,10.0,40.0,4.0,True,0.196018607382311,0.5603354047314764,0.2894908679903025,19.923672557860574,1.8620689655172413,gwo,43
4,0.2894908679903025,80,152.85017149961013,47.14982850038987,100.0,20,10.0,40.0,4.0,True,0.196018607382311,0.5603354047314764,0.2894908679903025,19.923672557860574,1.793103448275862,gwo,43
5,0.2894908679903025,100,152.85017149961013,47.14982850038987,100.0,20,10.0,40.0,4.0,True,0.196018607382311,0.5603354047314764,0.2894908679903025,19.923672557860574,1.7241379310344827,gwo,43
6,0.2894908679903025,120,152.85017149961013,47.14982850038987,100.0,20,10.0,40.0,4.0,True,0.196018607382311,0.5603354047314764,0.2894908679903025,19.923672557860574,1.6551724137931034,gwo,43
7,0.2894908679903025,140,152.85017149961013,47.14982850038987,100.0,20,10.0,40.0,4.0,True,0.196018607382311,0.5603354047314764,0.2894908679903025,19.923672557860574,1.5862068965517242,gwo,43
8,0.2894908679903025,160,152.85017149961013,47.14982850038987,100.0,20,10.0,40.0,4.0,True,0.196018607382311,0.5603354047314764,0.2894908679903025,19.923672557860574,1.5172413793103448,gwo,43
9,0.2894908679903025,180,152.85017149961013,47.14982850038987,100.0,20,10.0,40.0,4.0,True,0.196018607382311,0.5603354047314764,0.2894908679903025,19.923672557860574,1.4482758620689655,gwo,43
10,0.2878207635941873,200,147.54396096893075,52.45603903106925,100.0,20,10.0,20.0,2.0,True,0.19255605885078686,0.5549158465371007,0.2878207635941873,19.720765387312287,1.3793103448275863,gwo,43
11,0.28231123059928404,220,127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,0.6084858570630121,0.28231123059928404,19.44923235434911,1.3103448275862069,gwo,43
12,0.28231123059928404,240,127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,0.6084858570630121,0.28231123059928404,19.44923235434911,1.2413793103448276,gwo,43
13,0.28231123059928404,260,127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,0.6084858570630121,0.28231123059928404,19.44923235434911,1.1724137931034484,gwo,43
14,0.28231123059928404,280,127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,0.6084858570630121,0.28231123059928404,19.44923235434911,1.103448275862069,gwo,43
15,0.28231123059928404,300,127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,0.6084858570630121,0.28231123059928404,19.44923235434911,1.0344827586206897,gwo,43
16,0.28231123059928404,320,127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,0.6084858570630121,0.28231123059928404,19.44923235434911,0.9655172413793103,gwo,43
17,0.28231123059928404,340,127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,0.6084858570630121,0.28231123059928404,19.44923235434911,0.896551724137931,gwo,43
18,0.28231123059928404,360,127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,0.6084858570630121,0.28231123059928404,19.44923235434911,0.8275862068965518,gwo,43
19,0.28231123059928404,380,127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,0.6084858570630121,0.28231123059928404,19.44923235434911,0.7586206896551724,gwo,43
20,0.28231123059928404,400,127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,0.6084858570630121,0.28231123059928404,19.44923235434911,0.6896551724137931,gwo,43
21,0.28231123059928404,420,127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,0.6084858570630121,0.28231123059928404,19.44923235434911,0.6206896551724137,gwo,43
22,0.28231123059928404,440,127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,0.6084858570630121,0.28231123059928404,19.44923235434911,0.5517241379310345,gwo,43
23,0.28231123059928404,460,127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,0.6084858570630121,0.28231123059928404,19.44923235434911,0.48275862068965525,gwo,43
24,0.28231123059928404,480,127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,0.6084858570630121,0.28231123059928404,19.44923235434911,0.4137931034482758,gwo,43
25,0.28231123059928404,500,127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,0.6084858570630121,0.28231123059928404,19.44923235434911,0.3448275862068966,gwo,43
26,0.28231123059928404,520,127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,0.6084858570630121,0.28231123059928404,19.44923235434911,0.27586206896551735,gwo,43
27,0.28231123059928404,540,127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,0.6084858570630121,0.28231123059928404,19.44923235434911,0.2068965517241379,gwo,43
28,0.28231123059928404,560,127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,0.6084858570630121,0.28231123059928404,19.44923235434911,0.13793103448275867,gwo,43
29,0.28231123059928404,580,127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,0.6084858570630121,0.28231123059928404,19.44923235434911,0.06896551724137945,gwo,43
30,0.28231123059928404,600,127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,0.6084858570630121,0.28231123059928404,19.44923235434911,0.0,gwo,43
1,0.286607091665715,20,136.70202450426444,63.29797549573556,90.0,18,15.0,15.0,1.0,True,0.19569419035666408,0.5813555146480791,0.286607091665715,19.719614903881954,2.0,gwo,44
2,0.28463627194712965,40,157.87111799443463,42.12888200556537,100.0,20,15.0,30.0,2.0,True,0.19875899741500438,0.5658052283415037,0.28463627194712965,19.663184539310375,1.9310344827586208,gwo,44
3,0.28463627194712965,60,157.87111799443463,42.12888200556537,100.0,20,15.0,30.0,2.0,True,0.19875899741500438,0.5658052283415037,0.28463627194712965,19.663184539310375,1.8620689655172413,gwo,44
4,0.28463627194712965,80,157.87111799443463,42.12888200556537,100.0,20,15.0,30.0,2.0,True,0.19875899741500438,0.5658052283415037,0.28463627194712965,19.663184539310375,1.793103448275862,gwo,44
5,0.28463627194712965,100,157.87111799443463,42.12888200556537,100.0,20,15.0,30.0,2.0,True,0.19875899741500438,0.5658052283415037,0.28463627194712965,19.663184539310375,1.7241379310344827,gwo,44
6,0.28463627194712965,120,157.87111799443463,42.12888200556537,100.0,20,15.0,30.0,2.0,True,0.19875899741500438,0.5658052283415037,0.28463627194712965,19.663184539310375,1.6551724137931034,gwo,44
7,0.28463627194712965,140,157.87111799443463,42.12888200556537,100.0,20,15.0,30.0,2.0,True,0.19875899741500438,0.5658052283415037,0.28463627194712965,19.663184539310375,1.5862068965517242,gwo,44
8,0.28463627194712965,160,157.87111799443463,42.12888200556537,100.0,20,15.0,30.0,2.0,True,0.19875899741500438,0.5658052283415037,0.28463627194712965,19.663184539310375,1.5172413793103448,gwo,44
9,0.28463627194712965,180,157.87111799443463,42.12888200556537,100.0,20,15.0,30.0,2.0,True,0.19875899741500438,0.5658052283415037,0.28463627194712965,19.663184539310375,1.4482758620689655,gwo,44
10,0.28463627194712965,200,157.87111799443463,42.12888200556537,100.0,20,15.0,30.0,2.0,True,0.19875899741500438,0.5658052283415037,0.28463627194712965,19.663184539310375,1.3793103448275863,gwo,44
11,0.28463627194712965,220,157.87111799443463,42.12888200556537,100.0,20,15.0,30.0,2.0,True,0.19875899741500438,0.5658052283415037,0.28463627194712965,19.663184539310375,1.3103448275862069,gwo,44
12,0.28463627194712965,240,157.87111799443463,42.12888200556537,100.0,20,15.0,30.0,2.0,True,0.19875899741500438,0.5658052283415037,0.28463627194712965,19.663184539310375,1.2413793103448276,gwo,44
13,0.28463627194712965,260,157.87111799443463,42.12888200556537,100.0,20,15.0,30.0,2.0,True,0.19875899741500438,0.5658052283415037,0.28463627194712965,19.663184539310375,1.1724137931034484,gwo,44
14,0.28463627194712965,280,157.87111799443463,42.12888200556537,100.0,20,15.0,30.0,2.0,True,0.19875899741500438,0.5658052283415037,0.28463627194712965,19.663184539310375,1.103448275862069,gwo,44
15,0.28463627194712965,300,157.87111799443463,42.12888200556537,100.0,20,15.0,30.0,2.0,True,0.19875899741500438,0.5658052283415037,0.28463627194712965,19.663184539310375,1.0344827586206897,gwo,44
