metrica,unidad,paper,replicacion,desvio_pct,veredicto,seccion,nota
CF parque eolico,fraccion,0.4,0.39580167926828835,-1.0495801829279172,OK,§3.1,
CF parque fotovoltaico,fraccion,0.19,0.18744989860187322,-1.3421586305930424,OK,§3.1,
CF electrolizador (W190-P10-E95),fraccion,0.624,0.5888633534800305,-5.630872839738703,OK,§3.1,
LCOE W190-P10-E95-B30,CNY/kWh,0.2692,0.2623864848120482,-2.5310234724932443,OK,§3.2,
LCOE W120-P80-E80-B25,CNY/kWh,0.2886,0.28476863743662884,-1.3275684557765721,OK,§3.2,
LCOE W60-P140-E85-B27.5,CNY/kWh,0.3617,0.3530457347761023,-2.392663871688617,OK,§3.2,
NPC W190-P10-E95-B30,M CNY,2675.73,2664.976425610316,-0.4018931054211082,OK,§3.2,
NPC W120-P80-E80-B25,M CNY,2350.38,2346.8707115897323,-0.1493072784089296,OK,§3.2,
NPC W60-P140-E85-B27.5,M CNY,2114.53,2320.1710271057163,9.725141147475615,REVISAR,§3.2,"inconsistente con la Tabla 4 del paper: sus propios costos implican un delta de -26.7 M CNY respecto de W120-P80, no los -235.9 que reporta. Los otros dos NPC calzan al 0.4%."
CAPEX sobre NPC (W190),fraccion,0.733,0.7209064521311926,-1.6498701048850397,OK,§3.2,
